date,time,district,lat,lon,civ.race,civ.gender,civ.age,civ.injured,force_id,officer_id,month,civilian_race_short,hour
2015-05-07,2015-05-07T00:43:00Z,11,41.87628,-87.70109,BLACK,MALE,24,1,62089,486,2015-05-01,civilian_black,0
2013-03-20,2013-03-20T01:22:00Z,15,41.880165,-87.77338,BLACK,MALE,19,0,50243,499,2013-03-01,civilian_black,1
2013-04-30,2013-04-30T04:19:00Z,15,41.88024,-87.76896,BLACK,MALE,27,0,50929,499,2013-04-01,civilian_black,4
2013-05-02,2013-05-02T01:56:00Z,15,41.87677,-87.74663,BLACK,MALE,37,0,50978,499,2013-05-01,civilian_black,1
2013-05-12,2013-05-12T05:21:00Z,15,41.895744,-87.76787,BLACK,MALE,28,0,51152,499,2013-05-01,civilian_black,5
2013-05-31,2013-05-31T04:10:00Z,15,NA,NA,BLACK,MALE,53,0,51500,499,2013-05-01,civilian_black,4
2014-03-13,2014-03-13T23:38:00Z,15,41.89222,-87.751854,BLACK,MALE,25,0,55563,499,2014-03-01,civilian_black,23
2012-05-07,2012-05-07T17:59:00Z,7,41.780598,-87.66425,BLACK,MALE,25,0,45255,504,2012-05-01,civilian_black,17
2012-07-12,2012-07-12T16:03:00Z,7,41.77978,-87.67029,BLACK,FEMALE,36,0,46479,504,2012-07-01,civilian_black,16
2012-11-25,2012-11-25T22:00:00Z,7,41.77953,-87.66084,BLACK,MALE,19,1,48648,504,2012-11-01,civilian_black,22
2012-11-25,2012-11-25T20:15:00Z,7,41.773056,-87.66652,BLACK,MALE,47,0,48644,504,2012-11-01,civilian_black,20
2012-12-18,2012-12-18T15:36:00Z,7,NA,NA,BLACK,MALE,NA,0,48981,504,2012-12-01,civilian_black,15
2014-06-02,2014-06-02T17:58:00Z,7,41.78567,-87.67408,BLACK,MALE,21,1,56899,504,2014-06-01,civilian_black,17
2014-12-26,2014-12-26T18:50:00Z,7,41.77232,-87.65562,BLACK,MALE,26,0,60282,504,2014-12-01,civilian_black,18
2012-06-26,2012-06-26T22:44:00Z,8,41.79424,-87.71584,HISPANIC,MALE,26,0,46182,506,2012-06-01,civilian_hisp,22
2014-08-26,2014-08-26T19:28:00Z,4,41.748646,-87.594215,BLACK,FEMALE,34,0,58567,506,2014-08-01,civilian_black,19
2014-08-26,2014-08-26T19:28:00Z,4,41.748646,-87.594215,BLACK,MALE,26,0,58579,506,2014-08-01,civilian_black,19
2014-10-11,2014-10-11T00:19:00Z,20,41.984676,-87.66499,BLACK,MALE,40,0,59217,512,2014-10-01,civilian_black,0
2015-06-20,2015-06-20T04:00:00Z,20,41.982433,-87.693954,HISPANIC,MALE,25,0,62822,512,2015-06-01,civilian_hisp,4
